Date,Score Type,Visitor/Neutral,VisitorPTS,Home/Neutral,HomePTS
2021-03-03 00:00:00,Box Score,Brooklyn Nets,132,Houston Rockets,114
2021-03-03 00:00:00,Box Score,Charlotte Hornets,135,Minnesota Timberwolves,102
2021-03-03 00:00:00,Box Score,Chicago Bulls,128,New Orleans Pelicans,124
2021-03-03 00:00:00,Box Score,Atlanta Hawks,115,Orlando Magic,112
2021-03-03 00:00:00,Box Score,Oklahoma City Thunder,78,Dallas Mavericks,87
2021-03-03 00:00:00,Box Score,Golden State Warriors,106,Portland Trail Blazers,108
2021-03-03 00:00:00,Box Score,Los Angeles Lakers,120,Sacramento Kings,123
2021-03-04 00:00:00,Box Score,Toronto Raptors,125,Boston Celtics,132
2021-03-04 00:00:00,Box Score,Los Angeles Clippers,117,Washington Wizards,119
2021-03-04 00:00:00,Box Score,Detroit Pistons,104,New York Knicks,114
2021-03-04 00:00:00,Box Score,Denver Nuggets,113,Indiana Pacers,103
2021-03-04 00:00:00,Box Score,Milwaukee Bucks,112,Memphis Grizzlies,111
2021-03-04 00:00:00,Box Score,Miami Heat,103,New Orleans Pelicans,93
2021-03-04 00:00:00,Box Score,Oklahoma City Thunder,107,San Antonio Spurs,102
2021-03-04 00:00:00,Box Score,Golden State Warriors,98,Phoenix Suns,120
2021-03-04 00:00:00,Box Score,Sacramento Kings,119,Portland Trail Blazers,123
2021-03-10 00:00:00,Box Score,Washington Wizards,112,Memphis Grizzlies,127
2021-03-10 00:00:00,Box Score,San Antonio Spurs,104,Dallas Mavericks,115
2021-03-11 00:00:00,Box Score,Detroit Pistons,102,Charlotte Hornets,105
2021-03-11 00:00:00,Box Score,Boston Celtics,109,Brooklyn Nets,121
2021-03-11 00:00:00,Box Score,Atlanta Hawks,121,Toronto Raptors,120
2021-03-11 00:00:00,Box Score,Philadelphia 76ers,127,Chicago Bulls,105
2021-03-11 00:00:00,Box Score,Orlando Magic,103,Miami Heat,111
2021-03-11 00:00:00,Box Score,New York Knicks,101,Milwaukee Bucks,134
2021-03-11 00:00:00,Box Score,Minnesota Timberwolves,135,New Orleans Pelicans,105
2021-03-11 00:00:00,Box Score,Dallas Mavericks,108,Oklahoma City Thunder,116
2021-03-11 00:00:00,Box Score,Golden State Warriors,104,Los Angeles Clippers,130
2021-03-11 00:00:00,Box Score,Phoenix Suns,127,Portland Trail Blazers,121
2021-03-11 00:00:00,Box Score,Houston Rockets,105,Sacramento Kings,125
2021-03-12 00:00:00,Box Score,Denver Nuggets,103,Memphis Grizzlies,102
2021-03-12 00:00:00,Box Score,Cleveland Cavaliers,82,New Orleans Pelicans,116
2021-03-12 00:00:00,Box Score,Philadelphia 76ers,127,Washington Wizards,101
2021-03-12 00:00:00,Box Score,Miami Heat,101,Chicago Bulls,90
2021-03-12 00:00:00,Box Score,Orlando Magic,77,San Antonio Spurs,104
2021-03-12 00:00:00,Box Score,Houston Rockets,99,Utah Jazz,114
2021-03-12 00:00:00,Box Score,Indiana Pacers,100,Los Angeles Lakers,105
2021-03-13 00:00:00,Box Score,New York Knicks,119,Oklahoma City Thunder,97
2021-03-13 00:00:00,Box Score,Detroit Pistons,95,Brooklyn Nets,100
2021-03-13 00:00:00,Box Score,Toronto Raptors,104,Charlotte Hornets,114
2021-03-13 00:00:00,Box Score,Milwaukee Bucks,125,Washington Wizards,119
2021-03-13 00:00:00,Box Score,Sacramento Kings,106,Atlanta Hawks,121
2021-03-13 00:00:00,Box Score,Portland Trail Blazers,125,Minnesota Timberwolves,121
2021-03-13 00:00:00,Box Score,Dallas Mavericks,116,Denver Nuggets,103
2021-03-13 00:00:00,Box Score,Indiana Pacers,122,Phoenix Suns,111
2021-03-14 00:00:00,Box Score,Memphis Grizzlies,122,Oklahoma City Thunder,128
2021-03-14 00:00:00,Box Score,Utah Jazz,119,Golden State Warriors,131
2021-03-14 00:00:00,Box Score,San Antonio Spurs,99,Philadelphia 76ers,134
2021-03-14 00:00:00,Box Score,Miami Heat,102,Orlando Magic,97
2021-03-14 00:00:00,Box Score,Cleveland Cavaliers,82,Atlanta Hawks,100
2021-03-14 00:00:00,Box Score,Boston Celtics,134,Houston Rockets,107
2021-03-14 00:00:00,Box Score,Portland Trail Blazers,112,Minnesota Timberwolves,114
2021-03-14 00:00:00,Box Score,Toronto Raptors,95,Chicago Bulls,118
2021-03-14 00:00:00,Box Score,Los Angeles Clippers,115,New Orleans Pelicans,135
2021-03-15 00:00:00,Box Score,Sacramento Kings,116,Charlotte Hornets,122
2021-03-15 00:00:00,Box Score,Milwaukee Bucks,133,Washington Wizards,122
2021-03-15 00:00:00,Box Score,New York Knicks,112,Brooklyn Nets,117
2021-03-15 00:00:00,Box Score,San Antonio Spurs,109,Detroit Pistons,99
2021-03-15 00:00:00,Box Score,Los Angeles Clippers,109,Dallas Mavericks,99
2021-03-15 00:00:00,Box Score,Indiana Pacers,106,Denver Nuggets,121
2021-03-15 00:00:00,Box Score,Memphis Grizzlies,99,Phoenix Suns,122
2021-03-15 00:00:00,Box Score,Los Angeles Lakers,128,Golden State Warriors,97
2021-03-16 00:00:00,Box Score,Utah Jazz,117,Boston Celtics,109
2021-03-16 00:00:00,Box Score,Oklahoma City Thunder,102,Chicago Bulls,123
2021-03-16 00:00:00,Box Score,Atlanta Hawks,119,Houston Rockets,107
2021-03-16 00:00:00,Box Score,Cleveland Cavaliers,98,Miami Heat,113
2021-03-16 00:00:00,Box Score,New York Knicks,96,Philadelphia 76ers,99
2021-03-16 00:00:00,Box Score,New Orleans Pelicans,124,Portland Trail Blazers,125
2021-03-16 00:00:00,Box Score,Minnesota Timberwolves,121,Los Angeles Lakers,137
2021-03-17 00:00:00,Box Score,Toronto Raptors,112,Detroit Pistons,116
2021-03-17 00:00:00,Box Score,Brooklyn Nets,124,Indiana Pacers,115
2021-03-17 00:00:00,Box Score,Milwaukee Bucks,109,Philadelphia 76ers,105
2021-03-17 00:00:00,Box Score,Sacramento Kings,121,Washington Wizards,119
2021-03-17 00:00:00,Box Score,San Antonio Spurs,106,Chicago Bulls,99
2021-03-17 00:00:00,Box Score,Boston Celtics,110,Cleveland Cavaliers,117
2021-03-17 00:00:00,Box Score,Golden State Warriors,108,Houston Rockets,94
2021-03-17 00:00:00,Box Score,Charlotte Hornets,104,Denver Nuggets,129
2021-03-17 00:00:00,Box Score,Miami Heat,85,Memphis Grizzlies,89
2021-03-17 00:00:00,Box Score,Los Angeles Clippers,89,Dallas Mavericks,105
2021-03-18 00:00:00,Box Score,Utah Jazz,122,Washington Wizards,131
2021-03-18 00:00:00,Box Score,Oklahoma City Thunder,93,Atlanta Hawks,116
2021-03-18 00:00:00,Box Score,Orlando Magic,93,New York Knicks,94
2021-03-18 00:00:00,Box Score,Minnesota Timberwolves,123,Phoenix Suns,119
2021-03-18 00:00:00,Box Score,New Orleans Pelicans,93,Portland Trail Blazers,101
2021-03-18 00:00:00,Box Score,Charlotte Hornets,105,Los Angeles Lakers,116
2021-03-19 00:00:00,Box Score,Sacramento Kings,107,Boston Celtics,96
2021-03-19 00:00:00,Box Score,San Antonio Spurs,116,Cleveland Cavaliers,110
2021-03-19 00:00:00,Box Score,Detroit Pistons,113,Houston Rockets,100
2021-03-19 00:00:00,Box Score,Golden State Warriors,116,Memphis Grizzlies,103
2021-03-19 00:00:00,Box Score,Indiana Pacers,137,Miami Heat,110
2021-03-19 00:00:00,Box Score,Brooklyn Nets,113,Orlando Magic,121
2021-03-19 00:00:00,Box Score,Utah Jazz,115,Toronto Raptors,112
2021-03-19 00:00:00,Box Score,Chicago Bulls,127,Denver Nuggets,131
2021-03-19 00:00:00,Box Score,Minnesota Timberwolves,101,Phoenix Suns,113
2021-03-19 00:00:00,Box Score,Dallas Mavericks,119,Portland Trail Blazers,125
2021-03-20 00:00:00,Box Score,Atlanta Hawks,99,Los Angeles Lakers,94
2021-03-20 00:00:00,Box Score,Golden State Warriors,103,Memphis Grizzlies,111
2021-03-20 00:00:00,Box Score,Sacramento Kings,105,Philadelphia 76ers,129
2021-03-20 00:00:00,Box Score,San Antonio Spurs,113,Milwaukee Bucks,120
2021-03-20 00:00:00,Box Score,Charlotte Hornets,98,Los Angeles Clippers,125
2021-03-21 00:00:00,Box Score,Indiana Pacers,109,Miami Heat,106
2021-03-21 00:00:00,Box Score,Oklahoma City Thunder,114,Houston Rockets,112
2021-03-21 00:00:00,Box Score,New Orleans Pelicans,113,Denver Nuggets,108
2021-03-21 00:00:00,Box Score,Orlando Magic,96,Boston Celtics,112
2021-03-21 00:00:00,Box Score,Washington Wizards,106,Brooklyn Nets,113
2021-03-21 00:00:00,Box Score,Toronto Raptors,105,Cleveland Cavaliers,116
2021-03-21 00:00:00,Box Score,Chicago Bulls,100,Detroit Pistons,86
2021-03-21 00:00:00,Box Score,Philadelphia 76ers,101,New York Knicks,100
2021-03-21 00:00:00,Box Score,Los Angeles Lakers,94,Phoenix Suns,111
2021-03-21 00:00:00,Box Score,Dallas Mavericks,132,Portland Trail Blazers,92
2021-03-22 00:00:00,Box Score,Sacramento Kings,119,Cleveland Cavaliers,105
2021-03-22 00:00:00,Box Score,Oklahoma City Thunder,112,Minnesota Timberwolves,103
2021-03-22 00:00:00,Box Score,Charlotte Hornets,100,San Antonio Spurs,97
2021-03-22 00:00:00,Box Score,Utah Jazz,120,Chicago Bulls,95
2021-03-22 00:00:00,Box Score,Toronto Raptors,99,Houston Rockets,117
2021-03-22 00:00:00,Box Score,Boston Celtics,126,Memphis Grizzlies,132
2021-03-22 00:00:00,Box Score,Indiana Pacers,113,Milwaukee Bucks,140
2021-03-22 00:00:00,Box Score,Atlanta Hawks,110,Los Angeles Clippers,119
2021-03-23 00:00:00,Box Score,Denver Nuggets,110,Orlando Magic,99
2021-03-23 00:00:00,Box Score,Los Angeles Lakers,111,New Orleans Pelicans,128
2021-03-23 00:00:00,Box Score,Washington Wizards,113,New York Knicks,131
2021-03-23 00:00:00,Box Score,Phoenix Suns,110,Miami Heat,100
2021-03-23 00:00:00,Box Score,Philadelphia 76ers,108,Golden State Warriors,98
2021-03-23 00:00:00,Box Score,Brooklyn Nets,116,Portland Trail Blazers,112
2021-03-24 00:00:00,Box Score,Detroit Pistons,111,Indiana Pacers,116
2021-03-24 00:00:00,Box Score,Boston Celtics,119,Milwaukee Bucks,121
2021-03-24 00:00:00,Box Score,Denver Nuggets,111,Toronto Raptors,135
2021-03-24 00:00:00,Box Score,Cleveland Cavaliers,103,Chicago Bulls,94
2021-03-24 00:00:00,Box Score,Charlotte Hornets,122,Houston Rockets,97
2021-03-24 00:00:00,Box Score,Dallas Mavericks,128,Minnesota Timberwolves,108
2021-03-24 00:00:00,Box Score,Memphis Grizzlies,116,Oklahoma City Thunder,107
2021-03-24 00:00:00,Box Score,Phoenix Suns,111,Orlando Magic,112
2021-03-24 00:00:00,Box Score,Los Angeles Clippers,134,San Antonio Spurs,101
2021-03-24 00:00:00,Box Score,Atlanta Hawks,108,Sacramento Kings,110
2021-03-24 00:00:00,Box Score,Brooklyn Nets,88,Utah Jazz,118
2021-03-25 00:00:00,Box Score,Portland Trail Blazers,125,Miami Heat,122
2021-03-25 00:00:00,Box Score,Washington Wizards,102,New York Knicks,106
2021-03-25 00:00:00,Box Score,Los Angeles Clippers,98,San Antonio Spurs,85
2021-03-25 00:00:00,Box Score,Philadelphia 76ers,109,Los Angeles Lakers,101
2021-03-25 00:00:00,Box Score,Golden State Warriors,119,Sacramento Kings,141
2021-03-26 00:00:00,Box Score,Brooklyn Nets,113,Detroit Pistons,111
2021-03-26 00:00:00,Box Score,Boston Celtics,122,Milwaukee Bucks,114
2021-03-26 00:00:00,Box Score,Phoenix Suns,104,Toronto Raptors,100
2021-03-26 00:00:00,Box Score,Miami Heat,105,Charlotte Hornets,110
2021-03-26 00:00:00,Box Score,Houston Rockets,101,Minnesota Timberwolves,107
2021-03-26 00:00:00,Box Score,Denver Nuggets,113,New Orleans Pelicans,108
2021-03-26 00:00:00,Box Score,Portland Trail Blazers,112,Orlando Magic,105
2021-03-26 00:00:00,Box Score,Indiana Pacers,109,Dallas Mavericks,94
2021-03-26 00:00:00,Box Score,Memphis Grizzlies,114,Utah Jazz,117
2021-03-26 00:00:00,Box Score,Atlanta Hawks,124,Golden State Warriors,108
2021-03-26 00:00:00,Box Score,Cleveland Cavaliers,86,Los Angeles Lakers,100
2021-03-27 00:00:00,Box Score,New York Knicks,102,Milwaukee Bucks,96
2021-03-27 00:00:00,Box Score,Houston Rockets,129,Minnesota Timberwolves,107
2021-03-27 00:00:00,Box Score,Detroit Pistons,92,Washington Wizards,106
2021-03-27 00:00:00,Box Score,Chicago Bulls,104,San Antonio Spurs,120
2021-03-27 00:00:00,Box Score,Dallas Mavericks,103,New Orleans Pelicans,112
2021-03-27 00:00:00,Box Score,Boston Celtics,111,Oklahoma City Thunder,94
2021-03-27 00:00:00,Box Score,Memphis Grizzlies,110,Utah Jazz,126
2021-03-27 00:00:00,Box Score,Philadelphia 76ers,112,Los Angeles Clippers,122
2021-03-27 00:00:00,Box Score,Cleveland Cavaliers,98,Sacramento Kings,100
2021-03-28 00:00:00,Box Score,Phoenix Suns,101,Charlotte Hornets,97
2021-03-28 00:00:00,Box Score,Portland Trail Blazers,122,Toronto Raptors,117
2021-03-28 00:00:00,Box Score,Atlanta Hawks,102,Denver Nuggets,126
2021-03-28 00:00:00,Box Score,Orlando Magic,93,Los Angeles Lakers,96
2021-03-29 00:00:00,Box Score,Indiana Pacers,124,Washington Wizards,132
2021-03-29 00:00:00,Box Score,New Orleans Pelicans,115,Boston Celtics,109
2021-03-29 00:00:00,Box Score,Minnesota Timberwolves,107,Brooklyn Nets,112
2021-03-29 00:00:00,Box Score,Miami Heat,98,New York Knicks,88
2021-03-29 00:00:00,Box Score,Toronto Raptors,104,Detroit Pistons,118
2021-03-29 00:00:00,Box Score,Memphis Grizzlies,120,Houston Rockets,110
2021-03-29 00:00:00,Box Score,Dallas Mavericks,127,Oklahoma City Thunder,106
2021-03-29 00:00:00,Box Score,Sacramento Kings,132,San Antonio Spurs,115
2021-03-29 00:00:00,Box Score,Cleveland Cavaliers,75,Utah Jazz,114
2021-03-29 00:00:00,Box Score,Chicago Bulls,102,Golden State Warriors,116
2021-03-29 00:00:00,Box Score,Milwaukee Bucks,105,Los Angeles Clippers,129
2021-03-30 00:00:00,Box Score,Charlotte Hornets,114,Washington Wizards,104
2021-03-30 00:00:00,Box Score,Philadelphia 76ers,95,Denver Nuggets,104
2021-03-30 00:00:00,Box Score,Orlando Magic,103,Los Angeles Clippers,96
2021-03-30 00:00:00,Box Score,Atlanta Hawks,110,Phoenix Suns,117
2021-03-31 00:00:00,Box Score,Portland Trail Blazers,124,Detroit Pistons,101
2021-03-31 00:00:00,Box Score,Miami Heat,92,Indiana Pacers,87
2021-03-31 00:00:00,Box Score,Dallas Mavericks,113,Boston Celtics,108
2021-03-31 00:00:00,Box Score,Houston Rockets,108,Brooklyn Nets,120
2021-03-31 00:00:00,Box Score,Utah Jazz,111,Memphis Grizzlies,107
2021-03-31 00:00:00,Box Score,New York Knicks,101,Minnesota Timberwolves,102
2021-03-31 00:00:00,Box Score,Toronto Raptors,103,Oklahoma City Thunder,113
2021-03-31 00:00:00,Box Score,Sacramento Kings,106,San Antonio Spurs,120
2021-03-31 00:00:00,Box Score,Milwaukee Bucks,112,Los Angeles Lakers,97
2021-03-31 00:00:00,Box Score,Chicago Bulls,116,Phoenix Suns,121
2021-04-01 00:00:00,Box Score,Philadelphia 76ers,114,Cleveland Cavaliers,94
2021-04-01 00:00:00,Box Score,Washington Wizards,91,Detroit Pistons,120
2021-04-01 00:00:00,Box Score,Charlotte Hornets,89,Brooklyn Nets,111
2021-04-01 00:00:00,Box Score,Golden State Warriors,109,Miami Heat,116
2021-04-01 00:00:00,Box Score,Orlando Magic,115,New Orleans Pelicans,110
2021-04-01 00:00:00,Box Score,Atlanta Hawks,134,San Antonio Spurs,129
2021-04-01 00:00:00,Box Score,Denver Nuggets,101,Los Angeles Clippers,94
2021-04-02 00:00:00,Box Score,Golden State Warriors,77,Toronto Raptors,130
2021-04-02 00:00:00,Box Score,Houston Rockets,102,Boston Celtics,118
2021-04-02 00:00:00,Box Score,Dallas Mavericks,99,New York Knicks,86
2021-04-02 00:00:00,Box Score,Charlotte Hornets,114,Indiana Pacers,97
2021-04-02 00:00:00,Box Score,Minnesota Timberwolves,108,Memphis Grizzlies,120
2021-04-02 00:00:00,Box Score,Atlanta Hawks,126,New Orleans Pelicans,103
2021-04-02 00:00:00,Box Score,Chicago Bulls,106,Utah Jazz,113
2021-04-02 00:00:00,Box Score,Oklahoma City Thunder,103,Phoenix Suns,140
2021-04-02 00:00:00,Box Score,Milwaukee Bucks,127,Portland Trail Blazers,109
2021-04-02 00:00:00,Box Score,Los Angeles Lakers,115,Sacramento Kings,94
2021-04-03 00:00:00,Box Score,Dallas Mavericks,109,Washington Wizards,87
2021-04-03 00:00:00,Box Score,New York Knicks,125,Detroit Pistons,81
2021-04-03 00:00:00,Box Score,Cleveland Cavaliers,101,Miami Heat,115
2021-04-03 00:00:00,Box Score,Minnesota Timberwolves,113,Philadelphia 76ers,122
2021-04-03 00:00:00,Box Score,Indiana Pacers,139,San Antonio Spurs,133
2021-04-03 00:00:00,Box Score,Orlando Magic,91,Utah Jazz,137
2021-04-03 00:00:00,Box Score,Oklahoma City Thunder,85,Portland Trail Blazers,133
2021-04-03 00:00:00,Box Score,Milwaukee Bucks,129,Sacramento Kings,128
2021-04-04 00:00:00,Box Score,Brooklyn Nets,107,Chicago Bulls,115
2021-04-04 00:00:00,Box Score,Los Angeles Lakers,86,Los Angeles Clippers,104
2021-04-04 00:00:00,Box Score,Charlotte Hornets,86,Boston Celtics,116
2021-04-04 00:00:00,Box Score,Memphis Grizzlies,116,Philadelphia 76ers,100
2021-04-04 00:00:00,Box Score,Golden State Warriors,111,Atlanta Hawks,117
2021-04-04 00:00:00,Box Score,New Orleans Pelicans,122,Houston Rockets,115
2021-04-04 00:00:00,Box Score,Orlando Magic,109,Denver Nuggets,119
2021-04-05 00:00:00,Box Score,New York Knicks,112,Brooklyn Nets,114
2021-04-05 00:00:00,Box Score,Utah Jazz,103,Dallas Mavericks,111
2021-04-05 00:00:00,Box Score,Sacramento Kings,106,Minnesota Timberwolves,116
2021-04-05 00:00:00,Box Score,Detroit Pistons,132,Oklahoma City Thunder,108
2021-04-05 00:00:00,Box Score,Cleveland Cavaliers,125,San Antonio Spurs,101
2021-04-05 00:00:00,Box Score,Washington Wizards,101,Toronto Raptors,103
2021-04-05 00:00:00,Box Score,Phoenix Suns,133,Houston Rockets,130
2021-04-06 00:00:00,Box Score,Chicago Bulls,113,Indiana Pacers,97
2021-04-06 00:00:00,Box Score,New Orleans Pelicans,107,Atlanta Hawks,123
2021-04-06 00:00:00,Box Score,Philadelphia 76ers,106,Boston Celtics,96
2021-04-06 00:00:00,Box Score,Los Angeles Lakers,110,Toronto Raptors,101
2021-04-06 00:00:00,Box Score,Memphis Grizzlies,124,Miami Heat,112
2021-04-06 00:00:00,Box Score,Detroit Pistons,119,Denver Nuggets,134
2021-04-06 00:00:00,Box Score,Milwaukee Bucks,121,Golden State Warriors,122
2021-04-06 00:00:00,Box Score,Portland Trail Blazers,116,Los Angeles Clippers,133
2021-04-07 00:00:00,Box Score,Minnesota Timberwolves,137,Indiana Pacers,141
2021-04-07 00:00:00,Box Score,Washington Wizards,131,Orlando Magic,116
2021-04-07 00:00:00,Box Score,New York Knicks,99,Boston Celtics,101
2021-04-07 00:00:00,Box Score,New Orleans Pelicans,111,Brooklyn Nets,139
2021-04-07 00:00:00,Box Score,Memphis Grizzlies,131,Atlanta Hawks,113
2021-04-07 00:00:00,Box Score,Dallas Mavericks,93,Houston Rockets,102
2021-04-07 00:00:00,Box Score,Charlotte Hornets,113,Oklahoma City Thunder,102
2021-04-07 00:00:00,Box Score,San Antonio Spurs,96,Denver Nuggets,106
2021-04-07 00:00:00,Box Score,Utah Jazz,113,Phoenix Suns,117
2021-04-08 00:00:00,Box Score,Los Angeles Lakers,104,Miami Heat,110
2021-04-08 00:00:00,Box Score,Chicago Bulls,122,Toronto Raptors,113
2021-04-08 00:00:00,Box Score,Cleveland Cavaliers,129,Oklahoma City Thunder,102
2021-04-08 00:00:00,Box Score,Milwaukee Bucks,101,Dallas Mavericks,116
2021-04-08 00:00:00,Box Score,Phoenix Suns,103,Los Angeles Clippers,113
2021-04-08 00:00:00,Box Score,Detroit Pistons,113,Sacramento Kings,101
2021-04-08 00:00:00,Box Score,Portland Trail Blazers,103,Utah Jazz,122
2021-04-09 00:00:00,Box Score,Indiana Pacers,111,Orlando Magic,106
2021-04-09 00:00:00,Box Score,Minnesota Timberwolves,136,Boston Celtics,145
2021-04-09 00:00:00,Box Score,Memphis Grizzlies,129,New York Knicks,133
2021-04-09 00:00:00,Box Score,Chicago Bulls,108,Atlanta Hawks,120
2021-04-09 00:00:00,Box Score,Philadelphia 76ers,94,New Orleans Pelicans,101
2021-04-09 00:00:00,Box Score,San Antonio Spurs,119,Denver Nuggets,121
2021-04-09 00:00:00,Box Score,Charlotte Hornets,127,Milwaukee Bucks,119
2021-04-09 00:00:00,Box Score,Washington Wizards,110,Golden State Warriors,107
